Date,Cured,Confirmed,Deaths,mortal_rate,cured_rate,confirmation_increase_rate,cured_increase_rate
22/03/20,24,360,7,0.019444444444445,0.066666666666667,0.213888888888889,0.041666666666667
23/03/20,24,433,7,0.016166281755196,0.055427251732102,0.168591224018476,0
24/03/20,40,519,9,0.017341040462428,0.077071290944123,0.165703275529865,0.4
25/03/20,43,606,10,0.016501650165017,0.070957095709571,0.143564356435644,0.069767441860465
26/03/20,45,694,15,0.021613832853026,0.064841498559078,0.126801152737752,0.044444444444445
27/03/20,67,724,17,0.023480662983426,0.092541436464088,0.041436464088398,0.328358208955224
28/03/20,80,909,19,0.020902090209021,0.088008800880088,0.203520352035203,0.1625
29/03/20,96,1024,27,0.0263671875,0.09375,0.1123046875,0.166666666666667
30/03/20,102,1251,31,0.024780175859313,0.081534772182254,0.181454836131095,0.058823529411765
31/03/20,124,1397,35,0.025053686471009,0.088761632068719,0.104509663564782,0.17741935483871
01/04/20,144,1834,41,0.022355507088332,0.078516902944384,0.238276990185387,0.138888888888889
02/04/20,156,2069,53,0.025616239729338,0.075398743354278,0.113581440309328,0.076923076923077
03/04/20,163,2547,62,0.024342363564979,0.063996859049863,0.18767177071064,0.042944785276074
04/04/20,213,3072,75,0.0244140625,0.0693359375,0.1708984375,0.234741784037559
05/04/20,275,3577,83,0.023203802068773,0.076880067095331,0.141179759575063,0.225454545454545
06/04/20,319,4281,111,0.025928521373511,0.074515300163513,0.164447558981546,0.137931034482759
07/04/20,353,4789,124,0.025892670703696,0.073710586761328,0.106076425140948,0.096317280453258
08/04/20,411,5274,149,0.028251801289344,0.077929465301479,0.091960561243838,0.141119221411192
09/04/20,478,5865,169,0.028815004262575,0.08150042625746,0.10076726342711,0.140167364016736
10/04/20,516,6761,206,0.030468865552433,0.076320070995415,0.132524774441651,0.073643410852713
11/04/20,653,7529,242,0.032142382786559,0.086731305618276,0.10200557843007,0.209800918836141
12/04/20,765,8447,273,0.032319166568012,0.090564697525749,0.108677637030899,0.14640522875817
13/04/20,980,9352,324,0.03464499572284,0.104790419161677,0.096770744225834,0.219387755102041
14/04/20,1190,10815,353,0.032639852057328,0.110032362459547,0.135275080906149,0.176470588235294
15/04/20,1344,11933,392,0.032850079611162,0.112628844381128,0.093689767870611,0.114583333333333
16/04/20,1515,12759,420,0.032917940277451,0.118739713143663,0.064738615878987,0.112871287128713
17/04/20,1767,13835,452,0.032670762558728,0.127719551861222,0.077773762197326,0.142614601018676
18/04/20,2015,14792,488,0.032990805840995,0.136222282314765,0.064697133585722,0.123076923076923
19/04/20,2302,16116,519,0.032204020848846,0.142839414246711,0.082154380739638,0.124674196350999
20/04/20,2842,17656,559,0.03166062528319,0.160965111010421,0.087222473946534,0.190007037297678
21/04/20,3260,18985,603,0.031761917303134,0.171714511456413,0.070002633658151,0.128220858895706
22/04/20,3960,20471,652,0.031849934053051,0.193444384739387,0.072590493869376,0.176767676767677
23/04/20,4325,21700,686,0.031612903225807,0.199308755760369,0.056635944700461,0.084393063583815
24/04/20,4814,23452,723,0.030828927170391,0.205270339416681,0.074705782022855,0.101578728707935
25/04/20,5210,24893,779,0.031293938054875,0.209295785963926,0.057887759611136,0.076007677543186
26/04/20,5914,26605,826,0.031046795715091,0.222289043412892,0.064348806615298,0.119039567128847
27/04/20,6362,28160,886,0.031463068181818,0.225923295454545,0.055220170454546,0.070418107513361
28/04/20,7027,29834,937,0.03140711939398,0.235536636052826,0.056110477978146,0.094634979365305
29/04/20,7797,31709,1008,0.031789081964111,0.245892333406919,0.059131476867766,0.098755931768629
30/04/20,8373,33330,1075,0.032253225322532,0.251215121512151,0.048634863486349,0.068792547474024
01/05/20,9065,34972,1152,0.032940638224866,0.259207365892714,0.046951847192039,0.076337562051848
02/05/20,9951,37157,1218,0.032779826143123,0.267809564819549,0.058804532120462,0.089036277761029
03/05/20,10887,40124,1306,0.03254909779683,0.271333865018443,0.073945768118832,0.085974097547534
04/05/20,11762,42836,1389,0.0324259968251,0.274582127182743,0.063311233541881,0.074392110185343
05/05/20,13161,46711,1583,0.033889233799319,0.281753762497056,0.08295690522575,0.106298913456424
06/05/20,14183,49391,1694,0.034297746553016,0.28715757931607,0.054260897734405,0.072058097722626
07/05/20,15267,52952,1783,0.033672004834567,0.288317721710228,0.067249584529385,0.07100281653239
08/05/20,16540,56342,1886,0.033474140073125,0.293564303716588,0.060168258137801,0.076964933494559
09/05/20,17847,59662,1981,0.033203714256981,0.299135127887097,0.055646810365057,0.073233596682916
10/05/20,19358,62939,2109,0.033508635345334,0.307567644862486,0.052066286404296,0.078055584254572
11/05/20,20917,67152,2206,0.032850845842268,0.311487371932333,0.062738265427687,0.074532676770091
12/05/20,22455,70756,2293,0.032407145683758,0.317358245237153,0.050935609700944,0.068492540636829
13/05/20,24386,74281,2415,0.032511678625759,0.328293910959734,0.047454934640083,0.079184778151398
14/05/20,26235,78003,2549,0.032678230324475,0.336333217953156,0.047716113482815,0.070478368591576
15/05/20,27920,81970,2649,0.032316701232158,0.340612419177748,0.048395754544346,0.06035100286533
16/05/20,30153,85710,2752,0.032108272080271,0.351802590129506,0.043635515109089,0.074055649520777
17/05/20,34109,90637,2872,0.031686838708254,0.376325341747851,0.054359698577844,0.115981119352664
18/05/20,36824,95759,3029,0.031631491556929,0.384548710826136,0.053488444950344,0.073729089724093
19/05/20,39174,100325,3163,0.031527535509594,0.390470969349614,0.045512085721406,0.059988768060448
20/05/20,42298,106750,3303,0.030941451990632,0.396234192037471,0.060187353629977,0.073856919948934
21/05/20,45300,112359,3435,0.030571649801084,0.40317197554268,0.049920344609689,0.066269315673289
22/05/20,48534,118447,3583,0.030249816373568,0.409752885256697,0.051398515791873,0.066633700086537
23/05/20,51784,125101,3720,0.029735973333547,0.413937538468917,0.053189023269199,0.062760698285185
24/05/20,54441,131868,3867,0.029324779324779,0.412844662844663,0.051316467983135,0.048805128487721
25/05/20,57721,138845,4021,0.028960351471065,0.415722568331593,0.050250279088192,0.056825072330694
26/05/20,60491,145380,4167,0.02866281469253,0.416088870546155,0.044951162470766,0.045791935990478
27/05/20,64426,151767,4337,0.028576699809577,0.424505986149822,0.0420842475637,0.061077825722534
28/05/20,67692,158333,4531,0.028616902351373,0.42752932111436,0.04146956098855,0.048247946581575
29/05/20,71106,165799,4706,0.028383765885198,0.428868690402234,0.045030428410304,0.048012825921863
30/05/20,82370,173763,4971,0.028607931492896,0.474036474968779,0.045832542025633,0.13674881631662
31/05/20,86984,182143,5164,0.028351350312667,0.477558841130321,0.0460078070527,0.053044238020786
01/06/20,91819,190535,5394,0.028309759361797,0.48190096307765,0.044044401291101,0.052657946612357
02/06/20,95527,198706,5598,0.028172274616771,0.480745422886073,0.041121053214297,0.038816250902886
03/06/20,100303,207615,5815,0.028008573561641,0.483120198444236,0.042911157671652,0.047615724355204
04/06/20,104107,216919,6075,0.028005845499933,0.479934906578031,0.042891586260309,0.036539329728068
05/06/20,109462,226770,6348,0.027993120783172,0.48270053358028,0.043440490364687,0.048921086769838
